tailnum,manufacturer,issue_date,model,status,aircraft_type,engine_type
N316NB,AIRBUS INDUSTRIE,2000-06-16,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N316SW,BOEING,1992-04-20,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N316US,AIRBUS INDUSTRIE,2004-10-21,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N317AE,SAAB-SCANIA,1998-05-15,SAAB 340B,1,Fixed Wing Multi-Engine,Turbo-Prop
N317AS,BOEING,2003-03-27,737-990,1,Fixed Wing Multi-Engine,Turbo-Jet
N317AT,BOEING,2007-03-15,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N317CA,BOMBARDIER INC,2007-12-20,CL-600-2C10,1,Fixed Wing Multi-Engine,Turbo-Fan
N317NB,AIRBUS INDUSTRIE,2000-09-29,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N317US,AIRBUS INDUSTRIE,2004-10-21,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N317WN,BOEING,1999-04-02,737-3Q8,1,Fixed Wing Multi-Engine,Turbo-Fan
N318AS,BOEING,2003-06-02,737-990,1,Fixed Wing Multi-Engine,Turbo-Jet
N318AT,BOEING,2007-04-18,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N318NB,AIRBUS INDUSTRIE,2000-09-26,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N318SW,BOEING,2004-05-19,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N318UA,BOEING,1988-04-19,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N318US,AIRBUS INDUSTRIE,2004-10-12,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N319AA,BOEING,2004-04-09,767-223,1,Fixed Wing Multi-Engine,Turbo-Fan
N319AS,BOEING,2003-06-30,737-990,1,Fixed Wing Multi-Engine,Turbo-Jet
N319NB,AIRBUS INDUSTRIE,2000-10-26,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N319US,AIRBUS INDUSTRIE,2004-09-22,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N320AA,BOEING,2004-04-09,767-223,1,Fixed Wing Multi-Engine,Turbo-Fan
N320AE,SAAB-SCANIA,1998-05-15,SAAB 340B,1,Fixed Wing Multi-Engine,Turbo-Prop
N320AS,BOEING,2003-10-01,737-990,1,Fixed Wing Multi-Engine,Turbo-Jet
N320NB,AIRBUS INDUSTRIE,2000-12-19,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N320US,AIRBUS INDUSTRIE,2004-09-22,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N321AA,BOEING,1986-05-05,767-223,1,Fixed Wing Multi-Engine,Turbo-Fan
N321NB,AIRBUS INDUSTRIE,2001-01-26,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N321US,AIRBUS INDUSTRIE,1992-01-14,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N322AA,BOEING,1986-05-19,767-223,1,Fixed Wing Multi-Engine,Turbo-Fan
N322AW,BOEING,2001-06-26,737-3G7,1,Fixed Wing Multi-Engine,Turbo-Jet
N322NB,AIRBUS INDUSTRIE,2001-02-22,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N322SW,BOEING,2008-01-30,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N322US,AIRBUS INDUSTRIE,1992-01-15,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N323AA,BOEING,1986-11-19,767-223,1,Fixed Wing Multi-Engine,Turbo-Fan
N323AE,SAAB-SCANIA,1998-05-15,SAAB 340B,1,Fixed Wing Multi-Engine,Turbo-Prop
N323AS,BOEING,2004-02-26,737-990,1,Fixed Wing Multi-Engine,Turbo-Jet
N323NB,AIRBUS INDUSTRIE,2001-03-15,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N323SW,BOEING,1991-11-12,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N323US,AIRBUS INDUSTRIE,1992-02-03,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N32404,BOEING,2001-07-20,737-924,1,Fixed Wing Multi-Engine,Turbo-Fan
N324AA,BOEING,1986-09-17,767-223,1,Fixed Wing Multi-Engine,Turbo-Fan
