DepDelay,ArrDelay,CarrierDelay,WeatherDelay,LateAircraftDelay,NASDelay,SecurityDelay,Delay_ID
-5,23,0,0,0,23,0,0
-10,-20,0,0,0,0,0,0
-5,-13,0,0,0,0,0,0
-5,-13,0,0,0,0,0,0
0,4,0,0,0,0,0,0
0,-15,0,0,0,0,0,0
-2,-4,0,0,0,0,0,0
-7,-8,0,0,0,0,0,0
-10,-12,0,0,0,0,0,0
-10,-15,0,0,0,0,0,0
0,-11,0,0,0,0,0,0
0,-3,0,0,0,0,0,0
40,38,38,0,0,0,0,0
0,-26,0,0,0,0,0,0
29,13,0,0,0,0,0,0
-2,-8,0,0,0,0,0,0
5,-7,0,0,0,0,0,0
-10,-14,0,0,0,0,0,0
-2,-17,0,0,0,0,0,0
0,-2,0,0,0,0,0,0
-5,-18,0,0,0,0,0,0
3,10,0,0,0,0,0,0
-9,-11,0,0,0,0,0,0
25,24,24,0,0,0,0,0
-9,-9,0,0,0,0,0,0
0,-9,0,0,0,0,0,0
-10,-12,0,0,0,0,0,0
-2,-12,0,0,0,0,0,0
-5,-11,0,0,0,0,0,0
-5,-6,0,0,0,0,0,0
-5,-14,0,0,0,0,0,0
25,12,0,0,0,0,0,0
-7,-18,0,0,0,0,0,0
-10,-16,0,0,0,0,0,0
-5,-19,0,0,0,0,0,0
0,-17,0,0,0,0,0,0
-5,-11,0,0,0,0,0,0
50,32,0,32,0,0,0,0
0,-20,0,0,0,0,0,0
0,-16,0,0,0,0,0,0
-5,-6,0,0,0,0,0,0
-4,-10,0,0,0,0,0,0
0,4,0,0,0,0,0,0
13,9,0,0,0,0,0,0
10,15,0,10,0,5,0,0
-10,-15,0,0,0,0,0,0
-10,-21,0,0,0,0,0,0
-5,-5,0,0,0,0,0,0
0,-6,0,0,0,0,0,0
0,-1,0,0,0,0,0,0
-10,-27,0,0,0,0,0,0
0,-8,0,0,0,0,0,0
-5,-9,0,0,0,0,0,0
0,7,0,0,0,0,0,0
-5,5,0,0,0,0,0,0
-10,-15,0,0,0,0,0,0
0,7,0,0,0,0,0,0
0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,-8,0,0,0,0,0,0
-6,-4,0,0,0,0,0,0
0,-5,0,0,0,0,0,0
-5,-1,0,0,0,0,0,0
-1,3,0,0,0,0,0,0
-10,-16,0,0,0,0,0,0
23,21,0,21,0,0,0,0
20,13,0,0,0,0,0,0
-5,-3,0,0,0,0,0,0
-9,-1,0,0,0,0,0,0
-5,8,0,0,0,0,0,0
5,1,0,0,0,0,0,0
0,-4,0,0,0,0,0,0
20,20,20,0,0,0,0,0
-5,-16,0,0,0,0,0,0
0,3,0,0,0,0,0,0
0,47,0,0,0,47,0,0
-1,0,0,0,0,0,0,0
3,-12,0,0,0,0,0,0
18,-35,0,0,0,0,0,0
37,30,30,0,0,0,0,0
0,-8,0,0,0,0,0,0
-5,-21,0,0,0,0,0,0
-6,4,0,0,0,0,0,0
-10,-21,0,0,0,0,0,0
-10,-6,0,0,0,0,0,0
-5,-12,0,0,0,0,0,0
-6,6,0,0,0,0,0,0
0,-10,0,0,0,0,0,0
-6,-6,0,0,0,0,0,0
-7,0,0,0,0,0,0,0
-5,-3,0,0,0,0,0,0
27,20,0,20,0,0,0,0
0,-18,0,0,0,0,0,0
0,-6,0,0,0,0,0,0
0,-14,0,0,0,0,0,0
0,-6,0,0,0,0,0,0
-4,-19,0,0,0,0,0,0
20,9,0,0,0,0,0,0
-10,-19,0,0,0,0,0,0
237,211,211,0,0,0,0,0
0,-11,0,0,0,0,0,0
0,-11,0,0,0,0,0,0
-10,-24,0,0,0,0,0,0
-10,-14,0,0,0,0,0,0
15,3,0,0,0,0,0,0
6,14,0,0,0,0,0,0
-4,-14,0,0,0,0,0,0
-10,-26,0,0,0,0,0,0
0,-7,0,0,0,0,0,0
